#, 	 nlin, 	 lin
100,	7302,	11495
100,	1838,	9356
100,	10616,	2539
100,	847,	2014
100,	1549,	24953
100,	1538,	2177
100,	6176,	1471
100,	966,	1874
100,	1423,	1265
100,	1027,	1429
100,	1188,	2549
100,	1239,	2743
100,	1089,	1096
100,	1152,	1153
100,	1159,	1275
100,	1151,	1326
100,	994,	1503
100,	414,	998
100,	403,	811
100,	516,	2616
100,	349,	607
100,	344,	603
100,	1257,	751
100,	404,	1412
100,	358,	741
100,	402,	928
100,	404,	795
100,	1041,	618
100,	334,	590
100,	399,	677
200,	1391,	1971
200,	1512,	1633
200,	1530,	1264
200,	1208,	1568
200,	1376,	13502
200,	1359,	1285
200,	1600,	3879
200,	21583,	4632
200,	1366,	15493
200,	1353,	10757
200,	809,	2978
200,	1281,	895
200,	1282,	2513
200,	1378,	2432
200,	3222,	1057
200,	1310,	7006
200,	1412,	877
200,	8896,	1256
200,	9771,	25919
200,	1223,	1067
200,	1467,	881
200,	1272,	841
200,	1399,	616
200,	1288,	355852
200,	1432,	758
200,	770,	23431
200,	1405,	1001
200,	1171,	727
200,	1936,	491
200,	1191,	564
300,	3567,	2744
300,	6042,	1139
300,	5627,	1027
300,	2728,	1882
300,	5643,	939
300,	2611,	1167
300,	3001,	953
300,	2549,	962
300,	2769,	2195
300,	5137,	758
300,	2339,	1162
300,	2857,	1649
300,	2429,	8893
300,	3019,	1211
300,	3088,	832
300,	2456,	1341
300,	2494,	896
300,	2305,	918
300,	3398,	889
300,	2900,	986
300,	2381,	1366
300,	2595,	1233
300,	2514,	806
300,	2281,	1098
300,	2366,	1912
300,	18734,	1787
300,	2171,	1374
300,	2051,	1204
300,	2006,	1280
300,	2099,	1011
400,	3940,	1200
400,	3759,	777
400,	4680,	1095
400,	4467,	966
400,	3559,	2754
400,	3943,	941
400,	3857,	1158
400,	6547,	821
400,	4051,	1011
400,	3798,	510
400,	3498,	597
400,	3702,	696
400,	3876,	728
400,	3464,	1163
400,	4280,	677
400,	3785,	814
400,	3848,	1163
400,	3545,	1756
400,	3679,	634
400,	3391,	706
400,	3419,	836
400,	3643,	603
400,	3294,	479
400,	3393,	1084
400,	3913,	726
400,	3535,	760
400,	4989,	957
400,	3882,	669
400,	3789,	4573
400,	3994,	792
